time,px,py,pz,ox,oy,oz,ow
1758523860.7895572,-0.10309494706468433,-0.7459633511179391,0.2334494141933513,0.07865765783378106,0.05493880860006094,-0.0735346647809767,0.9926740534694705
1758523860.850361,-0.10240041140319767,-0.7459754099518633,0.24188386408649165,-0.020388198579426784,0.027210252703959603,-0.0686030201517603,0.9970717714031373
1758523860.9166732,-0.10237756483956545,-0.7458809417310523,0.24113018399181968,-0.029884127623763027,0.032108402785542944,-0.06794304485945304,0.9967318086928139
1758523860.9859366,-0.10237756483956548,-0.7458809417310523,0.2411301839918193,-0.02988412762376149,0.032108402785543166,-0.0679430448594532,0.996731808692814
1758523861.0523374,-0.1023915548183719,-0.7460050181957438,0.241745002259817,-0.02151067305061267,0.028084697790393222,-0.06874528102915374,0.9970141394730455
1758523861.1219983,-0.10240604703218138,-0.745848677584772,0.2410365455921022,-0.031622412817410836,0.032173999579853306,-0.06786189668317943,0.9966815878833643
1758523861.1900184,-0.1027873637190251,-0.7461435880328284,0.23718654091692598,-0.011123703687759612,0.037299400826407,-0.07051981612147343,0.9967580005064989
1758523861.258388,-0.10219535668504857,-0.7460154570833465,0.2494563810052967,-0.01357312835278869,-0.00147209620551329,-0.0701611454391589,0.9974495719516558
1758523861.3234303,-0.1022509019591161,-0.7460452304531608,0.24400802421898132,-0.01672109165846106,0.019707690917358998,-0.07056704851014585,0.9971794652744616
1758523861.3885388,-0.10233554158300245,-0.7465625221263303,0.24819955370916674,0.0005396995435372732,-0.0003791062207186836,-0.07352935313631465,0.9973001670128415
1758523861.4552703,-0.10224262324692832,-0.745773341454454,0.24697483643590507,-0.026191769652251295,0.006395653493797573,-0.07067734577391942,0.9971421266413663
1758523861.5266917,-0.1022628346037798,-0.74557364178952,0.2446896405686268,-0.025060149678618124,0.01610227426941552,-0.06967221418102712,0.9971324310298526
1758523861.587656,-0.10223889466108521,-0.7452624712477526,0.24569230676605758,-0.03125042206426555,0.01164612359560367,-0.06865578126524288,0.9970901532542382
1758523861.659983,-0.10289450356977421,-0.7460180075143029,0.2374688338495176,0.02268379986887004,0.03283311994709495,-0.07404585872557251,0.9964633271133743
1758523861.7276933,-0.10260384716627668,-0.7458860837708039,0.24235938609471336,-0.0009206202699112677,0.020632379676628825,-0.07481188693320262,0.9969910771373994
1758523861.7957642,-0.10316800662294791,-0.7465040288532175,0.2438692574004543,0.028660368361959832,0.009793153462213372,-0.08064217456047656,0.9962901682917438
